x_m,c02,c10,c21,c104,c833
0.0000,1.0000,1.0000,1.0000,1.0000,1.0000
0.0001,0.9204,0.9643,0.9748,0.9883,0.9900
0.0001,0.8424,0.9288,0.9496,0.9766,0.9800
0.0002,0.7644,0.8933,0.9244,0.9649,0.9700
0.0002,0.6908,0.8582,0.8994,0.9532,0.9600
0.0003,0.6173,0.8231,0.8744,0.9416,0.9500
0.0003,0.5507,0.7887,0.8496,0.9299,0.9400
0.0003,0.4841,0.7543,0.8248,0.9182,0.9300
0.0004,0.4262,0.7208,0.8004,0.9066,0.9200
0.0005,0.3682,0.6874,0.7760,0.8949,0.9100
0.0005,0.3197,0.6551,0.7520,0.8833,0.9000
0.0006,0.2713,0.6228,0.7280,0.8717,0.8900
0.0006,0.2323,0.5919,0.7045,0.8601,0.8800
0.0007,0.1933,0.5610,0.6810,0.8486,0.8700
0.0007,0.1633,0.5317,0.6582,0.8370,0.8600
0.0008,0.1332,0.5024,0.6353,0.8255,0.8500
0.0008,0.1109,0.4748,0.6131,0.8140,0.8400
0.0009,0.0886,0.4471,0.5909,0.8025,0.8300
0.0009,0.0728,0.4213,0.5694,0.7911,0.8200
0.0009,0.0569,0.3955,0.5480,0.7796,0.8100
0.0010,0.0460,0.3716,0.5273,0.7683,0.8000
0.0011,0.0352,0.3477,0.5067,0.7569,0.7900
0.0011,0.0281,0.3257,0.4869,0.7456,0.7800
0.0011,0.0210,0.3037,0.4670,0.7343,0.7700
0.0012,0.0165,0.2836,0.4481,0.7231,0.7600
0.0013,0.0120,0.2635,0.4292,0.7118,0.7500
0.0013,0.0093,0.2454,0.4112,0.7007,0.7400
0.0014,0.0066,0.2272,0.3932,0.6895,0.7300
0.0014,0.0051,0.2109,0.3762,0.6784,0.7200
0.0015,0.0035,0.1946,0.3591,0.6673,0.7100
0.0015,0.0027,0.1801,0.3430,0.6563,0.7000
0.0016,0.0018,0.1656,0.3269,0.6453,0.6900
0.0016,0.0013,0.1527,0.3118,0.6344,0.6800
0.0016,0.0009,0.1399,0.2967,0.6235,0.6700
0.0017,0.0006,0.1287,0.2825,0.6127,0.6600
0.0018,0.0004,0.1174,0.2684,0.6019,0.6500
0.0018,0.0003,0.1077,0.2552,0.5912,0.6400
0.0019,0.0002,0.0979,0.2420,0.5805,0.6300
0.0019,0.0001,0.0895,0.2297,0.5698,0.6200
0.0020,0.0001,0.0810,0.2174,0.5592,0.6100
0.0020,0.0001,0.0738,0.2061,0.5487,0.6000
0.0021,0.0000,0.0666,0.1948,0.5382,0.5900
0.0021,0.0000,0.0605,0.1843,0.5277,0.5800
0.0022,0.0000,0.0544,0.1739,0.5173,0.5700
0.0022,0.0000,0.0492,0.1643,0.5070,0.5600
0.0023,0.0000,0.0441,0.1547,0.4967,0.5500
0.0023,0.0000,0.0398,0.1459,0.4865,0.5400
0.0024,0.0000,0.0355,0.1372,0.4763,0.5300
0.0024,0.0000,0.0319,0.1292,0.4662,0.5200
0.0024,0.0000,0.0283,0.1212,0.4561,0.5100
0.0025,0.0000,0.0254,0.1140,0.4461,0.5000
0.0026,0.0000,0.0225,0.1067,0.4361,0.4900
0.0026,0.0000,0.0201,0.1002,0.4262,0.4800
0.0027,0.0000,0.0177,0.0937,0.4163,0.4700
0.0027,0.0000,0.0158,0.0878,0.4065,0.4600
0.0028,0.0000,0.0138,0.0819,0.3967,0.4500
0.0028,0.0000,0.0123,0.0767,0.3870,0.4400
0.0029,0.0000,0.0107,0.0714,0.3773,0.4300
0.0029,0.0000,0.0095,0.0667,0.3678,0.4200
0.0029,0.0000,0.0083,0.0620,0.3582,0.4100
0.0030,0.0000,0.0073,0.0578,0.3487,0.4000
0.0031,0.0000,0.0063,0.0537,0.3392,0.3900
0.0031,0.0000,0.0056,0.0500,0.3299,0.3800
0.0032,0.0000,0.0048,0.0463,0.3205,0.3700
0.0032,0.0000,0.0042,0.0430,0.3112,0.3600
0.0033,0.0000,0.0036,0.0398,0.3019,0.3500
0.0033,0.0000,0.0032,0.0369,0.2927,0.3400
0.0034,0.0000,0.0027,0.0340,0.2836,0.3300
0.0034,0.0000,0.0023,0.0315,0.2745,0.3200
0.0035,0.0000,0.0020,0.0290,0.2654,0.3100
0.0035,0.0000,0.0017,0.0268,0.2564,0.3000
0.0036,0.0000,0.0015,0.0247,0.2474,0.2900
0.0036,0.0000,0.0013,0.0228,0.2384,0.2800
0.0037,0.0000,0.0011,0.0209,0.2295,0.2700
0.0037,0.0000,0.0009,0.0192,0.2207,0.2600
0.0038,0.0000,0.0008,0.0176,0.2118,0.2500
0.0038,0.0000,0.0007,0.0162,0.2031,0.2400
0.0039,0.0000,0.0006,0.0148,0.1943,0.2300
0.0039,0.0000,0.0005,0.0135,0.1856,0.2200
0.0040,0.0000,0.0004,0.0123,0.1769,0.2100
0.0040,0.0000,0.0003,0.0113,0.1683,0.2000
0.0040,0.0000,0.0003,0.0102,0.1597,0.1900
0.0041,0.0000,0.0002,0.0093,0.1511,0.1800
0.0042,0.0000,0.0002,0.0084,0.1425,0.1700
0.0042,0.0000,0.0002,0.0077,0.1340,0.1600
0.0043,0.0000,0.0001,0.0069,0.1255,0.1500
0.0043,0.0000,0.0001,0.0062,0.1170,0.1400
0.0044,0.0000,0.0001,0.0056,0.1086,0.1300
0.0044,0.0000,0.0001,0.0050,0.1002,0.1200
0.0044,0.0000,0.0001,0.0044,0.0917,0.1100
0.0045,0.0000,0.0001,0.0039,0.0833,0.1000
0.0046,0.0000,0.0000,0.0034,0.0750,0.0900
0.0046,0.0000,0.0000,0.0030,0.0666,0.0800
0.0047,0.0000,0.0000,0.0025,0.0582,0.0700
0.0047,0.0000,0.0000,0.0022,0.0499,0.0600
0.0047,0.0000,0.0000,0.0018,0.0416,0.0500
0.0048,0.0000,0.0000,0.0014,0.0332,0.0400
0.0049,0.0000,0.0000,0.0010,0.0249,0.0300
0.0049,0.0000,0.0000,0.0007,0.0166,0.0200
0.0050,0.0000,0.0000,0.0003,0.0083,0.0100
0.0050,0.0000,0.0000,0.0000,0.0000,0.0000